Conference,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
MWC,Trey Smith,JR,G,San Jose State,21,607,47,29,7,2,9,16,167,0.323,0.339,0.314,0.721,8,2.2,1.4,0.3,0.1,9.3,0.2,-4
MWC,Karson Stastny,FR,G,Utah State,7,10,0,1,0,0,0,0,3,1,,1,,0.4,0,0.1,0,0,20.3,0.1,9.6
MWC,Isaiah Stevens,SO,G,Colorado State,28,986,119,152,31,2,86,55,429,0.465,0.486,0.427,0.865,15.3,4.3,5.4,1.1,0.1,19,4.1,3.8
MWC,Deon Stroud,JR,G,Fresno State,23,531,85,15,20,6,50,65,281,0.482,0.524,0.357,0.613,12.2,3.7,0.7,0.9,0.3,18.7,1.5,-0.8
MWC,Mason Taylor,SO,G,Air Force,19,136,13,5,1,0,9,6,29,0.407,0.5,0.353,0.25,1.5,0.7,0.3,0.1,0,4.9,-0.2,-7.8
MWC,Adam Thistlewood,JR,F,Colorado State,28,826,102,24,18,18,20,59,255,0.433,0.638,0.364,0.857,9.1,3.6,0.9,0.6,0.6,13.8,2.9,3.5
MWC,Dischon Thomas,SO,F,Colorado State,28,362,86,12,9,7,24,69,146,0.481,0.5,0.45,0.683,5.2,3.1,0.4,0.3,0.3,16.2,1.5,2.3
MWC,Hunter Thompson,JR,F,Wyoming,24,562,90,21,14,12,13,69,167,0.426,0.704,0.358,0.75,7,3.8,0.9,0.6,0.5,13.7,1.5,0.1
MWC,Devin Tillis,FR,F,Nevada-Las Vegas,24,459,84,29,16,1,28,64,88,0.534,0.622,0.381,0.947,3.7,3.5,1.2,0.7,0,11.2,1.2,-1.2
MWC,Joshua Tomaic,SR,F,San Diego State,28,437,93,17,17,12,22,74,128,0.505,0.595,0.217,0.694,4.6,3.3,0.6,0.6,0.4,15.8,1.9,2.8
MWC,John Tonje,SO,G,Colorado State,28,565,82,23,12,5,32,43,185,0.389,0.484,0.313,0.857,6.6,2.9,0.8,0.4,0.2,12,1.6,0.7
MWC,Keaton Van Soelen,SR,G,Air Force,25,687,70,43,28,19,42,45,148,0.476,0.603,0.311,0.706,5.9,2.8,1.7,1.1,0.8,11.7,0.6,-2.3
MWC,Camden Vander Zwaag,SO,G,Air Force,9,152,11,9,7,2,6,19,25,0.296,0.5,0.211,0.556,2.8,1.2,1,0.8,0.2,5.7,-0.1,-7.5
MWC,Zahar Vedischev,FR,G,Utah State,5,21,3,1,0,0,3,0,11,0.308,0.5,0.273,,2.2,0.6,0.2,0,0,3.7,0,-13.8
MWC,A.J. Walker,JR,G,Air Force,25,911,76,65,39,4,50,50,383,0.463,0.521,0.391,0.76,15.3,3,2.6,1.6,0.2,18.3,1.8,-0.4
MWC,Richard Washington,SR,G,San Jose State,16,514,83,35,6,3,31,25,312,0.401,0.449,0.342,0.792,19.5,5.2,2.2,0.4,0.2,20.8,1,1.4
MWC,Warren Washington,SO,F,Nevada,26,564,153,19,10,16,38,78,259,0.58,0.583,0,0.653,10,5.9,0.7,0.4,0.6,20.7,2.4,1.4
