Conference,Player,Class,Pos,School,G,MP,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,PTS,TRB,AST,STL,BLK,PER,WS,BPM
MWC,Haize Fornstrom,SO,G,Wyoming,18,38,5,2,0,0,1,12,9,0.75,0.5,1,0.5,0.5,0.3,0.1,0,0,8.6,0.1,-3.7
MWC,Kenny Foster,FR,G,Wyoming,32,657,80,36,13,3,28,49,153,0.342,0.453,0.244,0.688,4.8,2.5,1.1,0.4,0.1,7.2,0.3,-3.8
MWC,Caleb Giordano,SO,G,San Diego State,11,25,1,2,0,0,0,1,9,0.3,,0.3,0,0.8,0.1,0.2,0,0,10.1,0.1,-3.5
MWC,Jay Green,SO,G,Nevada-Las Vegas,17,172,39,6,3,1,4,22,16,0.636,0.636,,0.182,0.9,2.3,0.4,0.2,0.1,8.2,0.3,0.8
MWC,Nate Grimes,SR,F,Fresno State,27,751,275,24,14,42,47,65,310,0.492,0.552,0.386,0.585,11.5,10.2,0.9,0.5,1.6,24.8,3.1,5.1
MWC,Roche Grootfaam,JR,F,Utah State,11,63,12,0,1,0,3,4,36,0.565,0.565,,0.769,3.3,1.1,0,0.1,0,23.4,0.3,0.2
MWC,Bryce Hamilton,SO,G,Nevada-Las Vegas,32,870,176,45,23,5,69,78,513,0.453,0.494,0.339,0.679,16,5.5,1.4,0.7,0.2,22,3.1,4.4
MWC,Kaison Hammonds,SO,G,San Jose State,21,204,27,14,8,1,7,23,80,0.386,0.526,0.333,0.818,3.8,1.3,0.7,0.4,0,14.4,0.4,0.4
MWC,Amauri Hardy,JR,G,Nevada-Las Vegas,32,1108,105,107,23,5,76,74,465,0.409,0.476,0.333,0.697,14.5,3.3,3.3,0.7,0.2,15,2.9,2.2
MWC,Jalen Harris,JR,G,Nevada,30,991,194,118,34,4,72,69,650,0.446,0.495,0.362,0.823,21.7,6.5,3.9,1.1,0.1,26.4,5,7.6
MWC,Niven Hart,FR,G,Fresno State,26,459,64,9,9,4,30,26,227,0.452,0.506,0.398,0.604,8.7,2.5,0.3,0.3,0.2,18.2,1.2,1.4
MWC,CJ Haut,,F,Air Force,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
MWC,Jake Hendricks,SR,G,Wyoming,33,1130,130,41,36,1,44,77,343,0.334,0.378,0.327,0.818,10.4,3.9,1.2,1.1,0,10.2,1.4,-0.4
MWC,Vante Hendrix,SO,G,New Mexico,18,407,67,22,20,2,22,41,158,0.474,0.667,0.306,0.707,8.8,3.7,1.2,1.1,0.1,17.2,1.3,1.5
MWC,Alex Hobbs,SR,G,Boise State,32,833,89,69,18,1,49,56,265,0.45,0.494,0.339,0.759,8.3,2.8,2.2,0.6,0,12.1,2,0.5
MWC,Anthony Holland,FR,G,Fresno State,29,698,134,21,15,9,15,64,119,0.368,0.267,0.388,0.692,4.1,4.6,0.7,0.5,0.3,10.5,1.6,1.3
MWC,Bing Huang,FR,G,Boise State,5,18,3,3,0,0,1,3,6,0.5,0,1,0,1.2,0.6,0.6,0,0,17,0.1,-5.1
MWC,Trey Hurlburt,SO,G,Nevada-Las Vegas,3,7,0,1,0,0,0,1,0,0,0,0,,0,0,0.3,0,0,-16.9,0,-25.8
MWC,C.J. Hyder,JR,G,Fresno State,4,13,0,1,0,0,0,0,2,0.5,1,0,0,0.5,0,0.3,0,0,6.3,0,-9.1
MWC,Jarred Hyder,FR,G,Fresno State,26,830,68,81,13,3,66,44,236,0.38,0.444,0.302,0.833,9.1,2.6,3.1,0.5,0.1,9.5,0.8,-2.5
MWC,K.J. Hymes,FR,F,Nevada,31,428,96,15,6,31,35,101,127,0.532,0.549,0.333,0.642,4.1,3.1,0.5,0.2,1,13.1,1.2,-2.1
MWC,Brae Ivey,SR,G,San Jose State,31,837,86,78,39,2,47,72,273,0.345,0.4,0.323,0.838,8.8,2.8,2.5,1.3,0.1,12.5,1.2,-1.5
MWC,Nikc Jackson,FR,F,Air Force,10,28,8,1,2,0,1,5,14,0.444,0.429,0.5,0.5,1.4,0.8,0.1,0.2,0,24.2,0.1,0.9
MWC,Vance Jackson,JR,F,New Mexico,28,761,147,36,28,9,59,51,312,0.414,0.52,0.342,0.714,11.1,5.3,1.3,1,0.3,15.4,1.7,1.6
MWC,Sam Japhet-Mathias,JR,C,San Jose State,17,212,33,5,0,2,25,39,60,0.324,0.39,0.067,0.647,3.5,1.9,0.3,0,0.1,-2.6,-0.7,-13.7
MWC,Justinian Jessup,SR,G,Boise State,32,1151,142,67,45,15,40,69,512,0.426,0.471,0.397,0.959,16,4.4,2.1,1.4,0.5,20.1,5.2,7.2
MWC,Jazz Johnson,SR,G,Nevada,29,979,95,58,25,0,58,55,461,0.409,0.396,0.417,0.833,15.9,3.3,2,0.9,0,16,2.8,2.5
MWC,Keshad Johnson,FR,F,San Diego State,18,107,30,4,5,1,8,12,34,0.353,0.5,0.222,0.375,1.9,1.7,0.2,0.3,0.1,12.2,0.3,-0.7
MWC,Robin Jorch,SR,C,Boise State,32,516,92,10,10,7,29,84,120,0.616,0.662,0,0.612,3.8,2.9,0.3,0.3,0.2,10.9,1.5,-1.3
MWC,Christopher Joyce,JR,G,Air Force,29,625,85,41,11,2,44,39,192,0.417,0.525,0.348,0.756,6.6,2.9,1.4,0.4,0.1,11.3,0.7,-2
MWC,Kuba Karwowski,JR,C,Utah State,15,159,48,11,7,15,6,18,40,0.607,0.654,0,0.353,2.7,3.2,0.7,0.5,1,22.4,0.8,4.8
MWC,Abu Kigab,JR,F,Boise State,20,516,72,19,13,6,32,53,221,0.42,0.474,0.328,0.734,11.1,3.6,1,0.7,0.3,14.6,1.5,0.6
MWC,Abe Kinrade,SO,F,Air Force,27,179,30,8,5,2,9,25,63,0.541,0.696,0.286,0.905,2.3,1.1,0.3,0.2,0.1,17.9,0.6,0.1
MWC,Seneca Knight,SO,G,San Jose State,31,1000,177,73,32,10,82,65,530,0.403,0.483,0.294,0.772,17.1,5.7,2.4,1,0.3,18.4,2.1,1.4
MWC,Emmanuel Kuac,FR,G,New Mexico,19,118,25,5,3,4,4,17,28,0.522,0.643,0.333,0.167,1.5,1.3,0.3,0.2,0.2,12.4,0.3,1
MWC,Eduardo Lane,JR,F,San Jose State,25,256,55,15,2,9,24,54,83,0.538,0.557,0.25,0.4,3.3,2.2,0.6,0.1,0.4,10.2,0.1,-5.6
MWC,Mustafa Lawrence,JR,G,Fresno State,18,364,25,53,14,2,35,30,115,0.37,0.457,0.306,0.727,6.4,1.4,2.9,0.8,0.1,11.8,0.5,-2.1
MWC,Craig LeCesne,SR,F,San Jose State,11,226,43,20,3,4,20,16,73,0.346,0.433,0.095,0.938,6.6,3.9,1.8,0.3,0.4,9,-0.1,-5.7
MWC,Kyle Lukasiewicz,JR,G,Colorado State,8,13,0,1,1,0,0,1,7,0.75,1,0.5,0,0.9,0,0.1,0.1,0,29.6,0.1,10.1
MWC,JaQuan Lyle,SR,G,New Mexico,29,1007,123,134,40,9,120,72,433,0.43,0.5,0.356,0.746,14.9,4.2,4.6,1.4,0.3,15.3,2,0.6
MWC,Hunter Maldonado,SO,G,Wyoming,33,1166,192,132,41,17,100,102,523,0.422,0.471,0.295,0.708,15.8,5.8,4,1.2,0.5,17.5,2.6,2
MWC,Makuach Maluach,JR,F,New Mexico,33,895,133,38,27,13,46,58,316,0.48,0.583,0.312,0.726,9.6,4,1.2,0.8,0.4,14.9,2.2,0.5
MWC,Corey Manigault,SR,F,New Mexico,33,805,150,24,40,18,60,70,412,0.545,0.568,0.32,0.698,12.5,4.5,0.7,1.2,0.5,21.6,2.9,1.5
MWC,Kwane Marble,FR,G,Wyoming,27,526,75,28,29,6,39,66,222,0.484,0.548,0.358,0.761,8.2,2.8,1,1.1,0.2,18.6,1.6,2.7
MWC,Kris Martin,SR,G,Colorado State,32,727,107,49,26,11,46,48,236,0.359,0.411,0.323,0.688,7.4,3.3,1.5,0.8,0.3,11.4,1.1,0.3
MWC,Zane Martin,JR,G,New Mexico,33,796,95,102,41,7,71,75,333,0.415,0.483,0.25,0.705,10.1,2.9,3.1,1.2,0.2,15.4,1.7,-0.5
MWC,Cheikh Mbacke Diong,JR,F,Nevada-Las Vegas,32,810,252,15,33,37,52,93,247,0.544,0.571,0.1,0.645,7.7,7.9,0.5,1,1.2,19.7,2.8,2.5
MWC,Keith McGee,JR,G,New Mexico,31,496,49,24,11,3,23,36,182,0.473,0.615,0.365,0.6,5.9,1.6,0.8,0.4,0.1,13.6,1.1,0.3
MWC,Zane Meeks,FR,F,Nevada,31,516,116,23,8,7,24,53,197,0.43,0.548,0.364,0.75,6.4,3.7,0.7,0.3,0.2,15.6,1.5,2
MWC,Joel Mensah,SO,F,San Diego State,21,136,21,1,4,12,7,24,39,0.613,0.613,,0.333,1.9,1,0,0.2,0.6,14,0.5,3.6
